Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
US010: Critical security vulnerability notifications,"**Verify test case**

* Test case designer: tester1
* Date of creation 7.3.2025

**Test description / objective**

security vulnerabilities send notifications

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA002/)

**Test pre-state**

* Start

**Test steps**

1. Make a security vulnerability
2. Make sure a notification is coming trough

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * Notification comes trough
* FAIL condition:
  * No notification",51,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/51,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:43,2025-03-20 14:19:25,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US021: As a Developer, I want to be able to deploy my code changes to production with a single click, so that I can quickly and easily release new features","# Description:

* Topic text:  __USER STORY: As a DEVELOPER, I want to be able to deploy my code changes to production with one click, so that I can quickly and easily release new features. 
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/32)
* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",52,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/52,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:43,2025-03-20 14:19:25,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
US021: Single click code changes to production,"**Verify test case**

* Test case designer: tester1
* Date of creation 7.3.2025

**Test description / objective**

Make sure CI/CD pipeline works for code changes

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA021/)

**Test pre-state**

* CI/CD pipeline setup for code changes

**Test steps**

1. Deploy code
2. Expect it to go to production immediately

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * Code goes to production automatically
* FAIL condition:
  * Code doesn't go to prodction",53,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/53,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:44,2025-03-20 14:19:25,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US007: As a security officer, I want this automated scanner to correctly report vulnerabilities in line with their severity and offer mitigation strategies where possible, to help me prioritize and address these issues appropriately","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to a feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/47)
* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",54,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/54,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:44,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
US007: Automatic vulnerability reports and mitigation strategies,"**Verify test case**

* Test case designer: tester1
* Date of creation 7.3.2025

**Test description / objective**

Automatic vulnerability reports

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA002/)

**Test pre-state**

* Start

**Test steps**

1. Make a security vulnerability
2. Make sure reports are being made

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * Vulnerability reports are being made
  * Mitigation strategies are offered
* FAIL condition:
  * One of the above conditions don't pass",55,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/55,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:44,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
Updating the team presentation materials,"# General task

Describe what should be done?

1. Keep your team presentation updated! (Power Point / or selected URL link)

Make sure you can share easily some info to possible visitors:

\-Team members and responsibility -Team feeling generally -Latest Road Map -Problems and issues? -Latest achievements (Features) -Currently under work (Features) -Next featuers on list -Used Workhours as a team and relation with Cost estimation as progress bar (Curren user hours/How much hours estimated orginally)

* What could be ready for Demo day?

**Who should work for this?**

Whole team

**Checklist as a starter**

- [ ] Do X
- [ ] Do Y",56,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/56,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:44,2025-03-20 14:21:44,,Sprint 05 - Gate 2,,task::general,0,0,,
"US115 As a developer, I want to run regression tests after bug fixes, so that I can ensure the fix does not break other parts of the system","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/40)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",57,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/57,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:44,2025-03-20 14:19:00,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
US115: Regression testing,"**Verify test case**

* Test case designer: tester1
* Date of creation 11.3.2025

**Test description / objective**

Makes sure regression tests work

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA086/)

**Test pre-state**

* Regression testing is setup

**Test steps**

1. Run regression test
2. Expect a report
3. Intentionally fail a test
4. Expect failed report

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",58,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/58,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:44,2025-03-20 14:19:00,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
US067: As developer I would like to be able to use webservice API,"# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/27)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",59,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/59,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:45,2025-03-20 14:19:26,,Sprint 06,,user story::proposed,0,0,,
"US038: As a Project Manager I want to see regular reports from the vulnerability scanning tool, providing visibility into our software security practices, and ensuring that we're maintaining good cybersecurity hygiene","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to a feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/47)
* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",60,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/60,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:45,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US064:As a shop owner, I want to track sales by product, category, and customer, so I can identify best sellers and popular categories.","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/44)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",61,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/61,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:45,2025-03-20 14:19:24,,Sprint 06,,user story::proposed,0,0,,
"US069: As a shop owner, I want insights into when and why customers abandon their shopping carts, so I can implement strategies to reduce cart abandonment rates.","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",62,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/62,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:46,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US071: As a business owner, I want to understand the pattern of sales over different periods (day, week, month, season, etc.), so I can better manage inventory and predict future sales trends.","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/46)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",63,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/63,Open,project_manager1,narsu,"","",No,No,2025-03-07,2025-03-20 08:52:46,2025-03-20 14:19:26,,Sprint 04,,user story::proposed,0,0,,
"US075: As a shop owner, I want to segment my customers based on their shopping patterns and preferences, so I can target them more effectively with personalized offers","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/43)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",64,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/64,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:46,2025-03-20 14:19:25,,Sprint 06,,user story::proposed,0,0,,
"US074: As a software developer, I want to implement algorithms for customer segmentation so that marketing teams can effectively target different customer groups","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/43)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",65,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/65,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:46,2025-03-20 14:19:24,,Sprint 06,,user story::proposed,0,0,,
"US079: As a software developer, I want to design a scalable architecture for real-time analytics so that the system can provide up-to-date insights without performance lags.","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/43)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",66,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/66,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:47,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US078: As a software developer, I want to build a data collection system for tracking cart abandonment events so that useful insights can be extracted for reducing abandonment rates","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/43)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",67,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/67,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:47,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"No ""Account created"" message.","## Summary

No message such as ""Account created"" upon creating account.


Steps to reproduce

Create a new account.


## What is the current bug behavior?

Account is created, but no acknowledgement is given.


## What is the expected correct behavior?

The website should notify the user in some way that the account creation was successful.


## Relevant logs and/or screenshots

(Paste any relevant logs - please use code blocks (```) to format console output,
logs, and code as it's very hard to read otherwise.)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",68,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/68,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:47,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
Overlapping elements,"## Summary

Occasionally sublevel of titles of ""Clothes, accessories, art"" which show for example ""men and women"" in clothes is over the other text preventing clicking them.


Steps to reproduce

Click on for example ""clothes"" and leave your mouse on it, also happens if you move your mouse back on the button too quickly


## What is the current bug behavior?

Elements are overlapping, preventing access to some buttons.


## What is the expected correct behavior?

The ""dropdown"" element should be below, not overlapping the other stuff.


## Relevant logs and/or screenshots

![kuva](/uploads/6de9304b7a5f2a160845b3638422c9ef/kuva.png)
![kuva](/uploads/41c5ed09e9b171bc8512b05462d1b231/kuva.png)

## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",69,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/69,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:47,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
"Inconsistency in ""Art""  category","## Summary

""Art"" has no sublevel of titles. Or ""Dropdown"" menu.


Steps to reproduce

Click on ""Arts""


## What is the current bug behavior?

The button takes you directly to all art items, no dropdown menu.


## What is the expected correct behavior?

Dropdown menu for filtering, for example ""art"" is divided into ""posters"" and ""graphics"".


## Relevant logs and/or screenshots
![kuva](/uploads/abce223e259d9a2c6e086c364ebc95c0/kuva.png)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",70,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/70,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:47,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
Misleading 20% off banner,"## Summary

""20% off button clothes"", includes mugs and picture frames.

Steps to reproduce

Click on banner on the homepage.


## What is the current bug behavior?

The banner is misleading, and some items it shows are not even on sale.


## What is the expected correct behavior?

Should only show items categorized as ""Clothes"" that are 20% off.


## Relevant logs and/or screenshots

![kuva](/uploads/e45166ba2db27ffdd64a36fa17ada10e/kuva.png)
![kuva](/uploads/62c59438c5c4a168c0b734b99ce08de6/kuva.png)

## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",71,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/71,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:47,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
"US032: As a developer, I want to easily integrate my custom applications and services with the PrestaShop platform, so that I can extend its functionality","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/27)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",72,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/72,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:48,2025-03-20 14:19:26,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
FEA002 Test case,"# Test case for FEA002

| | |
|:-:|:-:|
| Test Case description | Test cases for FEA002 requirements |
| Test Case ID | 001 |
| Author/Designer | tester1 | 
| Date of creation | 18.2.2025 |

**Test description / objective**

This test case should verify that HTTPS is enabled and password can be reset

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)   
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA002/)

**Test pre-state**
* Start

**Test steps**

1. Check that the site starts with ""HTTPS""
###
1. Press reset password button
2. Expect email with link to reset password
3. Enter new password
4. Try to login with old password
5. Expect fail
6. Try to login with new password
7. Expect success

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**To be taken into account during test**

* Resetting the password must only be available to the actual owner of the account
* Email link should expire after a certain amount of time


**Test result (Pass/Fail Criteria)**


* PASS condition:
    - HTTPS at the start of URL
    - Reset password works 
* FAIL condition:
    - URL does not start with HTTPS
    - The new password doesn't work",73,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/73,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:48,2025-03-20 14:23:02,,,,Test Case::Idea,0,0,,
FEA003 Test case,"# Test case for FEA003


| | |
|:-:|:-:|
| Test Case description | Test cases for FEA003 requirements |
| Test Case ID | 002 |
| Author/Designer | tester1 | 
| Date of creation | 18.2.2025 |

**Test description / objective**

This test case should verify that there is:
* A pre-configured Docker image
* Local code can be mounted into the docker container
* MariaDB is in use with PrestaShop using Docker Compose
* Containers are in use during developement
* Service is ran in containers

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)   
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA004/)

**Test pre-state**

* Docker setup

**Test steps**

1. Make a new image with the pre-configured docker image
2. Check that all of the necessary PHP extensions and libraries are included
3. Mount local code into the Docker container
2. Check that changes have happened
4. Check that MariaDB is integrated
5. Check that containers are in use during developement
6. Check that service is ran in containers

**Test end-state**

After the test is done, it can be validated that the feature is implemented

**To be taken into account during test**


**Test result (Pass/Fail Criteria)**


* PASS condition:
    - All of the mentioned things are in use
* FAIL condition: 
    - Atleast one of the mentioned things aren't in use",74,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/74,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:48,2025-03-20 14:23:02,,,,Test Case::Idea,0,0,,
FEA004 Test case,"# Test case for FEA004


| | |
|:-:|:-:|
| Test Case description | Test cases for FEA004 requirements |
| Test Case ID | 003 |
| Author/Designer | tester1 | 
| Date of creation | 18.2.2025 |

**Test description / objective**

This test case should verify that there is all the necessary data collected from customers

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)   
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA004/)

**Test pre-state**
* Data gathering

**Test steps**

1. Multiple accounts should be simulated going to the store and doing different things
2. Check that all the required data is being collected
3. Check that customers are being segmented based on the data
4. Check that reports are being generated

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

* There should be no performance issues due to the feature

**Test result (Pass/Fail Criteria)**


* PASS condition:
    - Data is being collected
    - Customer's preferences should be identified
    - Reports are being generated
    - Reports and customer segmenting makes sense
* FAIL condition:
    - Atleast one of the mentioned things aren't in use",75,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/75,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:48,2025-03-20 14:23:02,,,,Test Case::Idea,0,0,,
FEA010 Test case,"# Test case for FEA010


| | |
|:-:|:-:|
| Test Case description | Test cases for FEA010 requirements |
| Test Case ID | 004 |
| Author/Designer | tester1 | 
| Date of creation | 18.2.2025 |

**Test description / objective**

This test case should verify that reports of security vulnerabilities are being made and developers are being notified of security vulnerabilities

**Links to requirements or other sources**
* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)   
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA010/)

**Test pre-state**
* security vulnerability reports are set up

**Test steps**

1. Make a security vulnerability
2. Make sure reports are being made
3. Make sure a notification is coming trough
4. Make sure regular reports are being made

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**


**Test result (Pass/Fail Criteria)**


* PASS condition:
    - Reports are being made
    - Notification comes
* FAIL condition:
    - No reports
    - No notifications",76,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/76,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:48,2025-03-20 14:23:02,,,,Test Case::Idea,0,0,,
